	Bestandsnaam	Freq.	Percent	Cum.	Popularity
	KENHUURCN	1	0.01	56.66	low
	LBT	1	0.01	59.25	low
	LOGIESEXPLPROV	1	0.01	61.76	low
	LOGIESEXPLTG	1	0.01	61.77	low
	MKB	1	0.01	63.29	low
	MZJ	1	0.01	64.49	low
	NBO	1	0.01	64.86	low
	NDS	1	0.01	64.97	low
	NKO	1	0.01	68.38	low
	NKPS	1	0.01	68.39	low
	NTR_KOPPEL	1	0.01	68.45	low
	OBW	1	0.01	68.53	low
	OII	1	0.01	68.60	low
	PMU	1	0.01	72.76	low
	POLS_SLI	1	0.01	75.09	low
	PS_ZORGINSTELLINGEN	1	0.01	78.23	low
	SECMECZLFHBUS	1	0.01	81.62	low
	SEP	1	0.01	82.41	low
	SGIN	1	0.01	82.58	low
	SHAREWAVEX	1	0.01	82.70	low
	SO25	1	0.01	82.99	low
	SRGREINTEGRATIEPOSITIEBUS	1	0.01	85.72	low
	SUWVONTSLAGVERGUNTAB	1	0.01	86.26	low
	UWVTRAAGGTABULT	1	0.01	86.66	low
	UWVTRAPERSAGGTAB	1	0.01	86.67	low
	UWV_AG	1	0.01	86.68	low
	UWV_HSBNUL	1	0.01	86.69	low
	UWV_MIR	1	0.01	86.69	low
	UWV_SLAP	1	0.01	86.71	low
	UWV_TRAJECTEN	1	0.01	86.71	low
	UWV_WERKBEDRIJVEN-CONTACTEN	1	0.01	86.72	low
	UWV_WERKBEDRIJVEN-NWW	1	0.01	86.72	low
	UWV_WW-TRAJECTEN	1	0.01	86.73	low
	VBOWONINGTYPETAB	1	0.01	86.76	low
	VO	1	0.01	88.77	low
	VRIJSTELLINGENINT	1	0.01	89.10	low
	VRLGBAPERSOONKTAB	1	0.01	89.73	low
	VRLHUWELIJKSGESCHIEDENISBUS	1	0.01	89.86	low
	VRLNIKPBUS	1	0.01	90.08	low
	VRLOBJECTWOONMUTTAB	1	0.01	90.08	low
	VRLSRGPERSONENTAB	1	0.01	90.09	low
	WERKNEMERSKENMERKEN	1	0.01	94.23	low
	WIW	1	0.01	94.37	low
	ZVPERC	1	0.01	98.84	low
	ZVWELVTAB	1	0.01	98.84	low
	ZVWZZGTAB	1	0.01	99.81	low
					
	Total	19.363	100.00		
